file                                                     format  type     num_seqs         sum_len  min_len  avg_len  max_len   Q1   Q2   Q3  sum_gap  N50  Q20(%)  Q30(%)
LV7001884265-LV7001308371-CGG3-017665_S89.cleaned.fq.gz  FASTQ   DNA    42,162,073   3,560,925,075       30     84.5      194   48  100  101        0  101   88.36   82.52
LV7001884266-LV7001308354-CGG3-017657_S81.cleaned.fq.gz  FASTQ   DNA    53,908,573   4,649,192,407       30     86.2      194   53   96  101        0  101   93.21      89
LV7001884268-LV7001308367-CGG3-017641_S65.cleaned.fq.gz  FASTQ   DNA    43,493,173   2,544,193,268       30     58.5      194   37   50   74        0   65   90.08   87.05
LV7001884269-LV7001308350-CGG3-017633_S57.cleaned.fq.gz  FASTQ   DNA    49,530,934   3,120,455,251       30       63      194   36   49   94        0   83   89.21   85.35
LV7001884270-LV7001308333-CGG3-017625_S49.cleaned.fq.gz  FASTQ   DNA    49,192,567   2,838,962,599       30     57.7      194   36   47   73        0   64   91.89   89.16
LV7001884271-LV7001308311-CGG3-017619_S41.cleaned.fq.gz  FASTQ   DNA   104,035,384   9,414,180,539       30     90.5      194   63  101  101        0  101   93.98   89.46
LV7001884272-LV7001308316-CGG3-016656_S33.cleaned.fq.gz  FASTQ   DNA    84,554,977   8,247,559,499       30     97.5      194   74  101  102        0  101   97.07   93.38
LV7001884273-LV7001308330-CGG3-016643_S25.cleaned.fq.gz  FASTQ   DNA    76,034,995   6,134,805,169       30     80.7      194   45   89  101        0  101   92.47   88.13
LV7001884274-LV7000631919-CGG3-017497_S17.cleaned.fq.gz  FASTQ   DNA    53,576,446   2,837,683,918       30       53      194   35   43   63        0   55   88.02   84.79
LV7001884275-LV7001308201-CGG3-017417_S9.cleaned.fq.gz   FASTQ   DNA    95,600,020   9,292,334,838       30     97.2      194   76  101  101        0  101   97.65   93.95
LV7001884276-LV7001308189-CGG3-017392_S1.cleaned.fq.gz   FASTQ   DNA    90,755,827   8,100,721,147       30     89.3      194   57   97  101        0  101   98.62   96.19
LV7001884277-LV7001308379-CGG3-017666_S90.cleaned.fq.gz  FASTQ   DNA    72,310,155   5,263,018,647       30     72.8      194   39   62  101        0  101   94.66   91.31
LV7001884278-LV7001308362-CGG3-017658_S82.cleaned.fq.gz  FASTQ   DNA    57,365,412   5,050,312,660       30       88      194   55  101  101        0  101   93.32    88.9
LV7001884279-LV7001308345-CGG3-017650_S74.cleaned.fq.gz  FASTQ   DNA    72,349,849   6,194,404,902       30     85.6      194   52   91  101        0  101   95.44    92.1
LV7001884280-LV7001308375-CGG3-017642_S66.cleaned.fq.gz  FASTQ   DNA    66,204,393   5,017,440,605       30     75.8      194   44   71  101        0  101   93.26   89.83
LV7001884281-LV7001308358-CGG3-017634_S58.cleaned.fq.gz  FASTQ   DNA    52,192,118   3,405,446,444       30     65.2      194   38   54   95        0   84   89.82   86.21
LV7001884282-LV7001308341-CGG3-017626_S50.cleaned.fq.gz  FASTQ   DNA    67,225,146   4,393,082,151       30     65.3      194   37   53   97        0   87   89.67   85.85
LV7001884283-LV7001308320-CGG3-017620_S42.cleaned.fq.gz  FASTQ   DNA   100,653,441   8,565,695,687       30     85.1      194   51  101  101        0  101   93.01   88.42
LV7001884284-LV7001308307-CGG3-016658_S34.cleaned.fq.gz  FASTQ   DNA   110,566,208  10,487,062,036       30     94.8      194   67  101  101        0  101   96.78   93.09
LV7001884285-LV7001308331-CGG3-016645_S26.cleaned.fq.gz  FASTQ   DNA    80,653,104   6,647,107,488       30     82.4      194   47   95  101        0  101   92.94   88.62
LV7001884286-LV7001308238-CGG3-017508_S18.cleaned.fq.gz  FASTQ   DNA    75,085,316   5,373,153,007       30     71.6      194   39   59  101        0  101   97.77   94.86
LV7001884287-LV7001308225-CGG3-017420_S10.cleaned.fq.gz  FASTQ   DNA   102,635,336   9,485,194,139       30     92.4      194   65  101  101        0  101    97.2   93.04
LV7001884288-LV7001308221-CGG3-017396_S2.cleaned.fq.gz   FASTQ   DNA    85,720,334   7,256,273,498       30     84.7      194   51   84  101        0  101   98.44   96.29
LV7001884289-LV7001308340-CGG3-017667_S91.cleaned.fq.gz  FASTQ   DNA    51,732,427   3,955,261,434       30     76.5      194   41   71  101        0  101   93.18   89.08
LV7001884290-LV7001308370-CGG3-017659_S83.cleaned.fq.gz  FASTQ   DNA    58,486,368   5,222,003,192       30     89.3      194   58  101  101        0  101   92.63   87.87
LV7001884291-LV7001308353-CGG3-017651_S75.cleaned.fq.gz  FASTQ   DNA    64,789,965   5,826,821,557       30     89.9      194   58  101  101        0  101   95.11   91.56
LV7001884292-LV7001308336-CGG3-017643_S67.cleaned.fq.gz  FASTQ   DNA    65,703,997   5,551,237,577       30     84.5      194   50   91  101        0  101   97.48   94.44
LV7001884293-LV7001308366-CGG3-017635_S59.cleaned.fq.gz  FASTQ   DNA    82,433,490   6,514,509,763       30       79      194   43   84  101        0  101   92.74   88.48
