sample,raw_reads,adpter_removed,fastp_input,fastp_after_filtering,fastp_passed_filters,fastp_too_short,fastp_low complexity
LibNTC_S96_L003,1,1,1</td,1</td,1,0.000000%,0.000000%
LV7001884265-LV7001308371-CGG3-017665_S89_L001,28575821,34023769,34.010044,22.279879,25.993507,21.448925%,2.122161%
LV7001884265-LV7001308371-CGG3-017665_S89_L002,29206604,34733031,34.720584,22.570648,26.482887,21.534906%,2.190781%
LV7001884265-LV7001308371-CGG3-017665_S89_L003,28688313,34265588,34.252132,22.512345,26.393983,20.806185%,2.135887%
LV7001884265-LV7001308371-CGG3-017665_S89_L004,29109143,34747558,34.734929,22.663368,26.653266,21.113517%,2.153158%
LV7001884266-LV7001308354-CGG3-017657_S81_L001,27657679,33110838,33.097796,23.726025,27.435249,14.861570%,2.246962%
LV7001884266-LV7001308354-CGG3-017657_S81_L002,27966924,33403599,33.391691,23.800125,27.641367,14.880031%,2.340792%
LV7001884266-LV7001308354-CGG3-017657_S81_L003,27718340,33277842,33.265024,23.904404,27.756756,14.279082%,2.279656%
LV7001884266-LV7001308354-CGG3-017657_S81_L004,27899531,33432753,33.420764,23.860912,27.777758,14.587467%,2.297263%
LV7001884268-LV7001308367-CGG3-017641_S65_L001,24037600,26537610,26.524696,15.348677,17.155697,32.543151%,2.778644%
LV7001884268-LV7001308367-CGG3-017641_S65_L002,24519491,27025565,27.013788,15.568925,17.455132,32.575872%,2.808488%
LV7001884268-LV7001308367-CGG3-017641_S65_L003,23709180,26150497,26.138006,15.215391,17.017423,32.102873%,2.791077%
LV7001884268-LV7001308367-CGG3-017641_S65_L004,24123854,26603702,26.592011,15.375393,17.245162,32.359241%,2.789845%
LV7001884269-LV7001308350-CGG3-017633_S57_L001,26135105,29368020,29.353516,15.019956,16.146078,42.362349%,2.632049%
LV7001884269-LV7001308350-CGG3-017633_S57_L002,26689648,29916370,29.902987,15.186864,16.377316,42.557665%,2.674174%
LV7001884269-LV7001308350-CGG3-017633_S57_L003,25791492,28967768,28.953162,14.919409,16.065765,41.875167%,2.636023%
LV7001884269-LV7001308350-CGG3-017633_S57_L004,26300215,29517019,29.503603,15.076097,16.274526,42.195033%,2.643819%
LV7001884270-LV7001308333-CGG3-017625_S49_L001,22166694,24385103,24.373179,14.540778,15.429637,33.855296%,2.838899%
LV7001884270-LV7001308333-CGG3-017625_S49_L002,22643275,24867984,24.857108,14.742546,15.681620,33.992152%,2.920782%
LV7001884270-LV7001308333-CGG3-017625_S49_L003,21821767,23983358,23.971641,14.373329,15.265402,33.443234%,2.875677%
LV7001884270-LV7001308333-CGG3-017625_S49_L004,22251473,24450251,24.439680,14.549935,15.491920,33.728785%,2.882824%
LV7001884271-LV7001308311-CGG3-017619_S41_L001,31156727,39998979,39.985050,30.944965,32.871437,14.538734%,3.251948%
LV7001884271-LV7001308311-CGG3-017619_S41_L002,31512368,40359782,40.346894,31.048165,33.074837,14.683505%,3.340329%
LV7001884271-LV7001308311-CGG3-017619_S41_L003,31366498,40376289,40.362012,31.335793,33.392805,14.028936%,3.237812%
LV7001884271-LV7001308311-CGG3-017619_S41_L004,31516326,40522824,40.509788,31.257002,33.378556,14.295824%,3.307902%
LV7001884272-LV7001308316-CGG3-016656_S33_L001,28652432,34769365,34.754970,30.565347,32.328108,6.351564%,0.631213%
LV7001884272-LV7001308316-CGG3-016656_S33_L002,28723988,34716762,34.703872,30.412944,32.229967,6.482432%,0.646181%
LV7001884272-LV7001308316-CGG3-016656_S33_L003,29018797,35410449,35.396398,31.121158,33.023529,6.075350%,0.628352%
LV7001884272-LV7001308316-CGG3-016656_S33_L004,29012477,35263334,35.249908,30.864599,32.814811,6.264799%,0.643295%
LV7001884273-LV7001308330-CGG3-016643_S25_L001,30213509,36578591,36.563911,26.391595,28.217710,19.619466%,3.206870%
LV7001884273-LV7001308330-CGG3-016643_S25_L002,30604058,36906630,36.892918,26.466078,28.370688,19.819115%,3.280792%
LV7001884273-LV7001308330-CGG3-016643_S25_L003,30205114,36661980,36.647436,26.583391,28.497908,19.029509%,3.208140%
LV7001884273-LV7001308330-CGG3-016643_S25_L004,30454244,36875134,36.861263,26.543178,28.513854,19.404680%,3.240798%
LV7001884274-LV7000631919-CGG3-017497_S17_L001,29628456,32466723,32.450095,18.469840,20.049846,35.650130%,2.563160%
LV7001884274-LV7000631919-CGG3-017497_S17_L002,30275510,33113668,33.098198,18.764569,20.432690,35.721588%,2.544870%
LV7001884274-LV7000631919-CGG3-017497_S17_L003,29150593,31894207,31.877719,18.233972,19.805648,35.328262%,2.541672%
LV7001884274-LV7000631919-CGG3-017497_S17_L004,29732480,32534717,32.519197,18.497385,20.141810,35.532406%,2.529380%
LV7001884275-LV7001308201-CGG3-017417_S9_L001,31205205,38110381,38.095877,32.705165,34.732874,8.723214%,0.104520%
LV7001884275-LV7001308201-CGG3-017417_S9_L002,31419015,38263708,38.250510,32.701364,34.807980,8.895474%,0.104485%
LV7001884275-LV7001308201-CGG3-017417_S9_L003,31600785,38825136,38.810703,33.348747,35.528048,8.358001%,0.100117%
LV7001884275-LV7001308201-CGG3-017417_S9_L004,31708542,38840699,38.827109,33.190855,35.450098,8.594709%,0.102851%
LV7001884276-LV7001308189-CGG3-017392_S1_L001,34073110,37607828,37.591027,31.407023,33.170710,11.703609%,0.055359%
LV7001884276-LV7001308189-CGG3-017392_S1_L002,34405610,37892373,37.877064,31.516199,33.348200,11.899600%,0.057145%
LV7001884276-LV7001308189-CGG3-017392_S1_L003,34269530,37985760,37.968868,31.788791,33.653559,11.310353%,0.055035%
LV7001884276-LV7001308189-CGG3-017392_S1_L004,34531131,38189346,38.173409,31.798640,33.731764,11.579967%,0.055476%
LV7001884277-LV7001308379-CGG3-017666_S90_L001,36151855,40145632,40.126648,25.517388,28.058936,28.848330%,1.225729%
LV7001884277-LV7001308379-CGG3-017666_S90_L002,36868214,40883793,40.866657,25.831446,28.498703,29.066620%,1.197548%
LV7001884277-LV7001308379-CGG3-017666_S90_L003,35943746,40016315,39.998046,25.622863,28.246441,28.183939%,1.196508%
LV7001884277-LV7001308379-CGG3-017666_S90_L004,36574698,40665423,40.647584,25.826558,28.547249,28.592824%,1.176067%
LV7001884278-LV7001308362-CGG3-017658_S82_L001,32043732,38543349,38.527984,27.959137,32.525322,13.461405%,2.118600%
LV7001884278-LV7001308362-CGG3-017658_S82_L002,32388175,38851540,38.837522,28.012608,32.724945,13.529841%,2.209003%
LV7001884278-LV7001308362-CGG3-017658_S82_L003,32185466,38824245,38.809020,28.178641,32.925605,13.015492%,2.144424%
LV7001884278-LV7001308362-CGG3-017658_S82_L004,32495272,39126469,39.111594,28.230283,33.083489,13.244052%,2.168526%
LV7001884279-LV7001308345-CGG3-017650_S74_L001,31029756,36613699,36.598305,27.987222,31.146344,12.642613%,2.254145%
LV7001884279-LV7001308345-CGG3-017650_S74_L002,31332543,36855578,36.841592,28.028177,31.287377,12.672417%,2.403520%
LV7001884279-LV7001308345-CGG3-017650_S74_L003,31195452,36907978,36.892779,28.249247,31.543381,12.175586%,2.324265%
LV7001884279-LV7001308345-CGG3-017650_S74_L004,31412398,37090051,37.075701,28.230754,31.598650,12.424609%,2.348007%
LV7001884280-LV7001308375-CGG3-017642_S66_L001,29800526,34170143,34.154956,23.852615,26.179777,20.610552%,2.739438%
LV7001884280-LV7001308375-CGG3-017642_S66_L002,30366796,34773524,34.759395,24.155756,26.586076,20.694627%,2.819359%
LV7001884280-LV7001308375-CGG3-017642_S66_L003,29687585,34091636,34.076530,23.902586,26.289809,20.068537%,2.782149%
LV7001884280-LV7001308375-CGG3-017642_S66_L004,30157079,34602438,34.587946,24.112160,26.585037,20.354970%,2.782886%
LV7001884281-LV7001308358-CGG3-017634_S58_L001,29010575,32477161,32.461727,18.147446,20.065524,35.328308%,2.858825%
LV7001884281-LV7001308358-CGG3-017634_S58_L002,29575964,33050319,33.036231,18.362906,20.361700,35.504495%,2.861053%
LV7001884281-LV7001308358-CGG3-017634_S58_L003,28650887,32064106,32.049258,18.051608,19.985818,34.812778%,2.827532%
LV7001884281-LV7001308358-CGG3-017634_S58_L004,29199270,32664795,32.650658,18.235863,20.250889,35.139295%,2.837793%
LV7001884282-LV7001308341-CGG3-017626_S50_L001,32944358,37400829,37.384412,21.288523,23.157573,35.161882%,2.893655%
LV7001884282-LV7001308341-CGG3-017626_S50_L002,33537512,37993964,37.978612,21.507355,23.453819,35.327518%,2.917147%
LV7001884282-LV7001308341-CGG3-017626_S50_L003,32632332,37040626,37.024401,21.226946,23.121856,34.657333%,2.892349%
LV7001884282-LV7001308341-CGG3-017626_S50_L004,33207444,37675110,37.659608,21.429713,23.405799,34.965255%,2.883809%
LV7001884283-LV7001308320-CGG3-017620_S42_L001,31610197,39593622,39.579689,29.111423,31.072894,18.878210%,2.614619%
