sample,raw_reads,adpter_removed,fastp_input,fastp_after_filtering,fastp_passed_filters,fastp_too_short,fastp_low complexity
LV7001883305-LV7001308371-CGG3-017665_S89_L001,31510906,37799878,37.785406,24.255393,28.258536,22.976424%,2.236670%
LV7001883305-LV7001308371-CGG3-017665_S89_L002,31592678,37900347,37.886695,24.298408,28.331664,23.020419%,2.199598%
LV7001883305-LV7001308371-CGG3-017665_S89_L003,31638024,38047262,38.033734,24.419610,28.552227,22.692550%,2.236654%
LV7001883305-LV7001308371-CGG3-017665_S89_L004,31962195,38520065,38.506967,24.777401,28.933241,22.626721%,2.235601%
LV7001883306-LV7001308354-CGG3-017657_S81_L001,27850200,33587000,33.573890,23.065811,27.157663,16.775304%,2.335461%
LV7001883306-LV7001308354-CGG3-017657_S81_L002,27924943,33680354,33.667980,23.119369,27.242578,16.780041%,2.304567%
LV7001883306-LV7001308354-CGG3-017657_S81_L003,28033821,33895683,33.883082,23.264052,27.493020,16.514292%,2.344860%
LV7001883306-LV7001308354-CGG3-017657_S81_L004,28097795,33992017,33.980063,23.371749,27.552259,16.559675%,2.356723%
LV7001883307-LV7001308337-CGG3-017649_S73_L001,29912366,35016822,35.003814,24.215039,27.505483,18.219237%,3.202231%
LV7001883307-LV7001308337-CGG3-017649_S73_L002,30013578,35126245,35.113803,24.278691,27.587376,18.265578%,3.168805%
LV7001883307-LV7001308337-CGG3-017649_S73_L003,30020490,35202569,35.190318,24.348229,27.719344,18.016973%,3.213225%
LV7001883307-LV7001308337-CGG3-017649_S73_L004,30115279,35323096,35.311281,24.474804,27.787776,18.058478%,3.247758%
LV7001883308-LV7001308367-CGG3-017641_S65_L001,24311051,26886437,26.873684,14.296863,16.054142,37.227486%,3.033246%
LV7001883308-LV7001308367-CGG3-017641_S65_L002,24430024,27012061,26.999869,14.360618,16.135862,37.236621%,3.000637%
LV7001883308-LV7001308367-CGG3-017641_S65_L003,24228550,26790063,26.778179,14.257129,16.026010,37.105439%,3.047287%
LV7001883308-LV7001308367-CGG3-017641_S65_L004,24301450,26871394,26.859887,14.336336,16.073977,37.108470%,3.047731%
LV7001883309-LV7001308350-CGG3-017633_S57_L001,25196226,28263778,28.250397,12.645729,13.662533,48.853905%,2.783826%
LV7001883309-LV7001308350-CGG3-017633_S57_L002,25295359,28366068,28.353351,12.681284,13.707041,48.913054%,2.743309%
